Team,Upset Win Count,Underdog Match Count,Underdog Match Win Rate (%),Bayesian Weighted Rate (%),Upset Frequency (%),Total Match Count
4415,9,13,69.23,56.06,11.84,76
3966,11,17,64.71,54.95,35.48,31
4632,7,10,70.0,53.93,58.33,12
180,9,14,64.29,53.11,14.29,63
11223,4,5,80.0,50.9,66.67,6
5823,5,7,71.43,50.75,45.45,11
6995,13,23,56.52,50.32,15.29,85
2059,14,26,53.85,48.68,18.92,74
604,11,20,55.0,48.36,17.19,64
9214,10,18,55.56,48.22,38.46,26
10479,9,16,56.25,48.05,26.47,34
4611,8,14,57.14,47.84,14.29,56
3339,15,29,51.72,47.32,22.06,68
599,15,29,51.72,47.32,25.42,59
1787,6,10,60.0,47.27,15.38,39
9432,6,10,60.0,47.27,12.24,49
4068,6,10,60.0,47.27,14.29,42
2472,13,25,52.0,46.97,30.95,42
2607,11,21,52.38,46.5,16.42,67
1731,10,19,52.63,46.21,13.89,72
3843,9,17,52.94,45.86,32.14,28
2227,9,17,52.94,45.86,34.62,26
9134,8,15,53.33,45.45,19.51,41
9149,3,4,75.0,45.45,33.33,9
5526,8,15,53.33,45.45,20.0,40
9998,3,4,75.0,45.45,60.0,5
456,7,13,53.85,44.94,17.95,39
6940,7,13,53.85,44.94,31.82,22
9029,7,13,53.85,44.94,25.0,28
7632,11,22,50.0,44.78,20.0,55
6324,17,36,47.22,44.12,19.32,88
8352,13,27,48.15,44.03,30.23,43
3006,9,18,50.0,43.87,21.95,41
5550,9,18,50.0,43.87,30.0,30
2910,5,9,55.56,43.5,4.76,105
7457,8,16,50.0,43.29,8.79,91
5026,8,16,50.0,43.29,15.38,52
4028,8,16,50.0,43.29,12.12,66
3314,14,30,46.67,43.11,16.87,83
33,14,30,46.67,43.11,10.22,137
4738,13,28,46.43,42.7,18.31,71
3276,10,21,47.62,42.65,11.76,85
8159,7,14,50.0,42.58,16.28,43
3636,7,14,50.0,42.58,15.91,44
1596,7,14,50.0,42.58,23.33,30
10465,4,7,57.14,42.42,36.36,11
